task_name,action,created,start,end,runtime,message,exc_text
Start,run,1701538944.093326,2023-12-02 14:42:24.093141,,,Task 'Start' status: 'run',
Start,success,1701538944.0953379,2023-12-02 14:42:24.093326,2023-12-02 14:42:24.094331,0:00:00.001005,Task 'Start' status: 'success',
Close,run,1701538957.7413213,2023-12-02 14:42:37.741321,,,Task 'Close' status: 'run',
Close,success,1701538957.7429507,2023-12-02 14:42:37.741321,2023-12-02 14:42:37.742951,0:00:00.001630,Task 'Close' status: 'success',
Start,run,1701539026.300821,2023-12-02 14:43:46.300821,,,Task 'Start' status: 'run',
Start,success,1701539026.3013253,2023-12-02 14:43:46.300821,2023-12-02 14:43:46.301325,0:00:00.000504,Task 'Start' status: 'success',
Close,run,1701539039.8574789,2023-12-02 14:43:59.857479,,,Task 'Close' status: 'run',
Close,success,1701539039.859479,2023-12-02 14:43:59.857479,2023-12-02 14:43:59.859479,0:00:00.002000,Task 'Close' status: 'success',
Start,run,1701539091.2700114,2023-12-02 14:44:51.270011,,,Task 'Start' status: 'run',
Start,success,1701539091.271017,2023-12-02 14:44:51.270011,2023-12-02 14:44:51.271017,0:00:00.001006,Task 'Start' status: 'success',
Close,terminate,1701539103.8951304,,2023-12-02 14:45:03.895130,,unknown reason,
Start,run,1701539157.3822033,2023-12-02 14:45:57.382203,,,Task 'Start' status: 'run',
Start,success,1701539157.3832035,2023-12-02 14:45:57.382203,2023-12-02 14:45:57.383204,0:00:00.001001,Task 'Start' status: 'success',
Close,run,1701539158.4795537,2023-12-02 14:45:58.479554,,,Task 'Close' status: 'run',
Close,success,1701539158.481066,2023-12-02 14:45:58.479554,2023-12-02 14:45:58.481066,0:00:00.001512,Task 'Close' status: 'success',
Start,run,1701539166.538477,2023-12-02 14:46:06.538477,,,Task 'Start' status: 'run',
Start,success,1701539166.5394776,2023-12-02 14:46:06.538477,2023-12-02 14:46:06.539478,0:00:00.001001,Task 'Start' status: 'success',
Close,terminate,1701539179.1800485,,2023-12-02 14:46:19.180048,,unknown reason,
Start,run,1701540521.7253149,2023-12-02 15:08:41.725315,,,Task 'Start' status: 'run',
Start,success,1701540528.7597437,2023-12-02 15:08:41.725315,2023-12-02 15:08:48.759744,0:00:07.034429,Task 'Start' status: 'success',
Close,run,1701540532.2001927,2023-12-02 15:08:52.200193,,,Task 'Close' status: 'run',
Close,success,1701540532.202199,2023-12-02 15:08:52.200193,2023-12-02 15:08:52.202199,0:00:00.002006,Task 'Close' status: 'success',
